Date: 7.16.2025
Time: 13:51:47
Subject ID: NH291
Constant Tone Frequency: 2300 Hz
Constant Tone Ear: R
Mode=2 (0=NH, 1=HI, 2=BabyfaceHD25)

-----3AFC 1/0 oct resol version of fusion experiment (0 oct resol=variable),-----

---------------------------------

***** Stimulus and response details *****

Index	 Freq	 Resp	 Reps	 TimeElapsed
1	4501	1.0	1	1.5773
2	3785	1.0	1	1.0732
3	3252	0.0	1	1.1505
4	2918	1.0	1	2.0825
5	2676	0.5	1	0.9534
6	2508	0.0	1	0.5662
7	2401	1.0	1	0.3467
8	2350	0.0	1	0.8132
9	2325	1.0	1	0.9472
10	2300	0.0	1	0.8712
11	2275	0.0	1	0.5626
12	2250	1.0	1	0.3925
13	2202	0.0	1	0.2770
14	2109	0.0	1	0.6558
15	1976	1.0	1	0.9056
16	1812	0.0	1	0.3066
17	1626	0.0	1	0.3262
18	1397	0.0	1	0.3359
19	1175	0.0	1	0.5635
20	2918	0.5	1	0.4906
21	2350	1.0	1	0.2685
22	2250	0.0	1	0.4021
23	1812	0.0	1	0.4486
24	3252	1.0	1	0.3159
25	2401	0.0	1	0.1321
26	2275	0.0	1	0.1646
27	1976	1.0	1	0.4693
28	1175	0.0	1	0.1129
29	3785	1.0	1	0.2677
30	2508	0.0	1	0.2680
31	2300	0.0	1	0.1029
32	2109	1.0	1	0.4787
33	1397	0.0	1	0.9293
34	4501	1.0	1	0.6249
35	2676	0.0	1	1.2700
36	2325	1.0	1	0.6129
37	2202	0.0	1	0.3467
38	1626	0.0	1	1.4394
39	2401	1.0	1	0.6507
40	2109	0.0	1	0.4599
41	2508	0.0	1	0.8535
42	2202	0.0	1	0.3271
43	2676	1.0	1	1.1957
44	2250	0.0	1	0.0835
45	1175	0.0	1	0.6833
46	2918	1.0	1	0.0817
47	2275	0.0	1	0.4771
48	1397	0.0	1	0.3066
49	3252	0.5	1	0.7275
50	2300	0.0	1	0.2123
51	1626	1.0	1	0.0917
52	3785	0.0	1	0.0825
53	2325	1.0	1	1.1558
54	1812	0.0	1	0.1834
55	4501	0.0	1	0.0825
56	2350	1.0	1	0.1015
57	1976	0.0	1	0.4929
58	1976	0.0	1	0.0611
59	2350	0.0	1	0.1846
60	4501	0.5	1	0.8257
61	1812	0.0	1	0.1217
62	2325	0.0	1	0.7856
63	3785	1.0	1	0.1226
64	1626	0.0	1	0.1527
65	2300	0.0	1	0.1518
66	3252	0.5	1	0.0608
67	1397	0.0	1	0.0509
68	2275	1.0	1	0.0719
69	2918	0.0	1	0.0304
70	1175	1.0	1	0.0722
71	2250	0.0	1	0.0615
72	2676	1.0	1	0.6987
73	2202	1.0	1	0.1130
74	2508	0.5	1	1.5405
75	2109	0.0	1	0.0518
76	2401	0.0	1	1.1586
77	1626	1.0	1	0.0741
78	2202	0.0	1	0.0317
79	2325	0.5	1	0.8397
80	2676	0.0	1	0.1528
81	4501	1.0	1	0.6597
82	1397	0.0	1	0.0516
83	2109	0.0	1	0.1015
84	2300	1.0	1	1.0908
85	2508	0.0	1	0.1168
86	3785	0.5	1	0.6641
87	1175	0.0	1	0.2370
88	1976	1.0	1	0.1013
89	2275	0.0	1	0.0712
90	2401	0.0	1	0.0507
91	3252	1.0	1	0.0628
92	1812	0.0	1	0.0429
93	2250	0.5	1	0.2869
94	2350	0.0	1	0.1017
95	2918	0.0	1	0.0633
96	1175	0.0	1	0.0612
97	1397	1.0	1	0.0519
98	1626	0.0	1	0.0525
99	1812	1.0	1	0.9711
100	1976	0.0	1	0.1232
101	2109	1.0	1	0.8024
102	2202	0.0	1	0.1867
103	2250	0.0	1	0.7469
104	2275	1.0	1	0.1111
105	2300	0.0	1	0.0818
106	2325	0.0	1	0.8666
107	2350	1.0	1	0.4837
108	2401	0.0	1	0.5992
109	2508	0.5	1	1.1837
110	2676	1.0	1	0.7666
111	2918	0.0	1	0.4920
112	3252	1.0	1	0.5041
113	3785	0.0	1	2.2805
114	4501	0.5	1	0.6610
