Date: 7.24.2025
Time: 13:13:48
Subject ID: NH292
Constant Tone Frequency: 2300 Hz
Constant Tone Ear: L
Mode=2 (0=NH, 1=HI, 2=BabyfaceHD25)

-----3AFC 1/0 oct resol version of fusion experiment (0 oct resol=variable),-----

---------------------------------

***** Stimulus and response details *****

Index	 Freq	 Resp	 Reps	 TimeElapsed
1	4501	0.0	2	6.3591
2	3785	1.0	1	0.0104
3	3252	0.0	1	0.4911
4	2918	0.0	4	1.0791
5	2676	1.0	1	3.9823
6	2508	0.0	1	0.3075
7	2401	0.0	1	1.5387
8	2350	0.0	1	0.2992
9	2325	0.0	1	3.3744
10	2300	0.5	2	2.9177
11	2275	0.5	1	0.1164
12	2250	1.0	1	0.7681
13	2202	1.0	1	0.1246
14	2109	0.0	1	0.1649
15	1976	0.0	1	0.8468
16	1812	0.0	1	0.0824
17	1626	0.0	1	0.1662
18	1397	0.0	1	0.1331
19	1175	0.0	1	0.1940
20	2918	1.0	1	0.0103
21	2350	0.5	1	1.5932
22	2250	0.5	1	1.6272
23	1812	0.5	1	1.9858
24	3252	1.0	1	0.0104
25	2401	1.0	1	1.8509
26	2275	1.0	1	0.0417
27	1976	0.0	1	1.7758
28	1175	0.0	1	0.0111
29	3785	0.0	1	4.9276
30	2508	0.0	1	0.4632
31	2300	0.0	1	0.3920
32	2109	0.0	1	0.0107
33	1397	0.0	1	0.0104
34	4501	1.0	1	1.3586
35	2676	1.0	1	2.3001
36	2325	1.0	1	0.1237
37	2202	1.0	1	0.2392
38	1626	1.0	1	2.3613
39	2401	0.0	1	0.5203
40	2109	0.0	1	0.5153
41	2508	0.0	1	0.1940
42	2202	0.0	1	0.0111
43	2676	0.0	1	0.8992
44	2250	1.0	1	0.2963
45	1175	0.0	1	0.6449
46	2918	0.0	1	0.1448
47	2275	0.0	1	0.3824
48	1397	0.0	1	2.0055
49	3252	1.0	1	0.1317
50	2300	0.5	1	2.2243
51	1626	0.0	1	0.0104
52	3785	1.0	1	1.5577
53	2325	0.0	1	0.0106
54	1812	0.0	1	1.3155
55	4501	1.0	1	0.1945
56	2350	0.5	1	2.4301
57	1976	0.0	1	0.0108
58	1976	0.0	1	1.8531
59	2350	0.0	1	0.2954
60	4501	1.0	1	0.1022
61	1812	0.0	1	0.0103
62	2325	0.0	1	0.4963
63	3785	0.0	1	1.7770
64	1626	0.0	1	0.0723
65	2300	0.0	2	0.1762
66	3252	1.0	1	0.0103
67	1397	0.0	1	1.0753
68	2275	0.5	1	3.0669
69	2918	0.0	1	1.1573
70	1175	0.0	1	0.2542
71	2250	0.5	1	1.3257
72	2676	1.0	1	1.1842
73	2202	1.0	2	1.6590
74	2508	1.0	1	0.2349
75	2109	1.0	1	0.0930
76	2401	0.0	1	0.9791
77	1626	0.0	1	0.1130
78	2202	0.5	1	2.4992
79	2325	0.5	1	0.5383
80	2676	0.0	1	0.0101
81	4501	1.0	1	3.0049
82	1397	0.0	1	0.8923
83	2109	0.0	1	0.1426
84	2300	1.0	1	1.5759
85	2508	1.0	1	0.9609
86	3785	1.0	1	0.0105
87	1175	0.0	1	1.6747
88	1976	0.0	1	0.1138
89	2275	0.0	1	2.9030
90	2401	0.0	1	0.3673
91	3252	0.0	1	1.6775
92	1812	0.0	1	0.2762
93	2250	0.0	1	0.2389
94	2350	0.0	1	1.6641
95	2918	1.0	1	0.0106
96	1175	0.0	1	2.4015
97	1397	0.0	1	0.1018
98	1626	0.0	1	2.5503
99	1812	0.0	1	0.3492
100	1976	0.0	2	0.7944
101	2109	0.0	1	0.0108
102	2202	0.0	1	0.3494
103	2250	0.0	1	0.0921
104	2275	0.0	1	0.8452
105	2300	0.0	1	2.1527
106	2325	0.0	1	0.6130
107	2350	0.0	1	0.1967
108	2401	0.5	1	0.0309
109	2508	0.5	1	0.5517
110	2676	1.0	1	0.0104
111	2918	1.0	1	2.1859
112	3252	1.0	1	0.0101
113	3785	1.0	1	0.3690
114	4501	1.0	1	1.3252
