Ear: B
Audiogram left  : NA
Audiogram right : NA
Trial	C1	C2	Vowel1	Vowel2	F0_1	F0_2	Ans1V	Ans2V	Ans3V	Ans1C	Ans2C	Ans3C	Ans1	Ans2	Ans3	OneType	BothOK	RT	Ear	Audiogram_Left	Audiogram_Right
1	D	F	EH	EH	low_f0	high_f0	EH	NaN	NaN	1	0	0	deaf	NaN	NaN	1	1	10.4553	B	NA	NA
2	D	D	IH	AE	low_f0	high_f0	IH	AE	NaN	1	0	0	did	AE	NaN	0	1	4.1973	B	NA	NA
3	D	JH	IH	AE	low_f0	low_f0	IH	AE	NaN	1	0	0	didge	AE	NaN	0	1	3.1900	B	NA	NA
4	G	G	IH	AE	high_f0	high_f0	IH	AE	NaN	1	0	0	gig	AE	NaN	0	1	5.8766	B	NA	NA
5	L	TH	IH	IH	high_f0	high_f0	IH	NaN	NaN	1	0	0	lith	NaN	NaN	1	1	0.4924	B	NA	NA
6	D	SH	EH	EH	low_f0	high_f0	EH	NaN	NaN	1	0	0	desh	NaN	NaN	1	1	4.4478	B	NA	NA
7	G	TH	IH	AE	low_f0	low_f0	IH	AE	NaN	1	0	0	gith	AE	NaN	0	1	5.2349	B	NA	NA
8	L	JH	EH	EH	low_f0	high_f0	EH	EH	NaN	1	0	0	ledge	EH	NaN	1	1	6.9673	B	NA	NA
9	G	TH	IH	AE	low_f0	high_f0	IH	AE	NaN	1	0	0	gith	AE	NaN	0	1	4.1366	B	NA	NA
10	G	T	AE	IH	low_f0	low_f0	IH	AE	NaN	1	0	0	git	AE	NaN	0	1	8.6947	B	NA	NA
11	L	TH	AE	IH	low_f0	low_f0	IH	AE	NaN	1	0	0	lith	AE	NaN	0	1	8.9040	B	NA	NA
12	D	JH	AE	AE	high_f0	high_f0	AE	NaN	NaN	1	0	0	dadge	NaN	NaN	1	1	1.0632	B	NA	NA
13	L	P	AE	IH	low_f0	high_f0	IH	EH	NaN	1	0	0	lip	EH	NaN	0	0	3.9905	B	NA	NA
14	D	JH	IH	AE	low_f0	high_f0	IH	AE	NaN	1	1	0	didge	dadge	NaN	0	1	3.4648	B	NA	NA
15	D	JH	AE	IH	high_f0	high_f0	IH	AE	NaN	1	0	0	didge	AE	NaN	0	1	3.9960	B	NA	NA
16	D	D	IH	IH	high_f0	high_f0	IH	NaN	NaN	1	0	0	did	NaN	NaN	1	1	2.9118	B	NA	NA
17	D	F	IH	IH	low_f0	high_f0	IH	NaN	NaN	1	0	0	diff	NaN	NaN	1	1	0.8445	B	NA	NA
18	D	F	AE	AE	low_f0	high_f0	EH	AE	NaN	1	1	0	deaf	daff	NaN	0	0	3.4085	B	NA	NA
19	G	TH	AE	IH	high_f0	high_f0	IH	AE	NaN	1	0	0	gith	AE	NaN	0	1	5.6756	B	NA	NA
20	G	G	EH	EH	low_f0	high_f0	EH	EH	NaN	1	0	0	geg	EH	NaN	1	1	2.8987	B	NA	NA
21	G	TH	AE	AE	high_f0	high_f0	AE	NaN	NaN	1	0	0	gath	NaN	NaN	1	1	3.3660	B	NA	NA
22	L	JH	AE	AE	low_f0	high_f0	AE	AE	NaN	1	0	0	ladge	AE	NaN	1	1	5.6323	B	NA	NA
23	G	G	IH	AE	low_f0	high_f0	IH	EH	NaN	1	0	0	gig	EH	NaN	0	0	3.5479	B	NA	NA
24	G	TH	AE	AE	low_f0	high_f0	EH	AE	NaN	1	0	0	geth	AE	NaN	0	0	13.2131	B	NA	NA
25	G	T	IH	IH	low_f0	high_f0	IH	IH	NaN	1	0	0	git	IH	NaN	1	1	3.4302	B	NA	NA
26	L	JH	AE	IH	low_f0	high_f0	IH	AE	NaN	1	0	0	lidge	AE	NaN	0	1	3.0558	B	NA	NA
27	G	TH	IH	AE	high_f0	high_f0	IH	AE	NaN	1	0	0	gith	AE	NaN	0	1	7.6474	B	NA	NA
28	L	JH	IH	AE	low_f0	high_f0	IH	AE	NaN	1	0	0	lidge	AE	NaN	0	1	3.5971	B	NA	NA
29	D	SH	IH	AE	low_f0	low_f0	AE	IH	NaN	0	1	0	AE	dish	NaN	0	1	3.0308	B	NA	NA
30	G	TH	EH	EH	low_f0	high_f0	EH	EH	NaN	1	0	0	geth	EH	NaN	1	1	4.1852	B	NA	NA
31	D	F	IH	AE	low_f0	low_f0	IH	AE	NaN	1	0	0	diff	AE	NaN	0	1	5.2856	B	NA	NA
32	D	D	AE	IH	low_f0	high_f0	IH	EH	NaN	1	0	0	did	EH	NaN	0	0	3.4584	B	NA	NA
33	G	TH	IH	IH	low_f0	high_f0	IH	IH	NaN	1	0	0	gith	IH	NaN	1	1	2.8903	B	NA	NA
34	L	TH	IH	AE	low_f0	high_f0	IH	AE	NaN	1	0	0	lith	AE	NaN	0	1	5.8784	B	NA	NA
35	L	JH	IH	IH	low_f0	high_f0	IH	IH	NaN	1	0	0	lidge	IH	NaN	1	1	4.9660	B	NA	NA
36	D	SH	AE	AE	low_f0	high_f0	AE	AE	NaN	1	0	0	dash	AE	NaN	1	1	1.8389	B	NA	NA
37	D	D	AE	AE	high_f0	high_f0	AE	NaN	NaN	1	0	0	dad	NaN	NaN	1	1	2.9697	B	NA	NA
38	D	SH	IH	AE	high_f0	high_f0	AE	IH	NaN	0	1	0	AE	dish	NaN	0	1	8.4305	B	NA	NA
39	G	T	IH	AE	low_f0	low_f0	IH	AE	NaN	1	0	0	git	AE	NaN	0	1	3.2355	B	NA	NA
40	G	G	AE	IH	low_f0	low_f0	IH	EH	EH	1	0	1	gig	EH	geg	0	0	13.6134	B	NA	NA
41	L	D	AE	AE	low_f0	high_f0	AE	EH	NaN	1	1	0	lad	led	NaN	0	0	4.7348	B	NA	NA
42	D	F	AE	IH	high_f0	high_f0	IH	AE	NaN	1	0	0	diff	AE	NaN	0	1	4.1353	B	NA	NA
43	L	P	AE	AE	low_f0	high_f0	AE	AE	NaN	1	0	0	lap	AE	NaN	1	1	3.7924	B	NA	NA
44	D	F	IH	AE	high_f0	high_f0	IH	AE	NaN	1	0	0	diff	AE	NaN	0	1	2.6803	B	NA	NA
45	L	D	EH	EH	low_f0	high_f0	EH	EH	NaN	1	0	0	led	EH	NaN	1	1	3.5792	B	NA	NA
46	G	G	IH	IH	low_f0	high_f0	IH	IH	NaN	1	0	0	gig	IH	NaN	1	1	9.9313	B	NA	NA
47	G	T	IH	AE	high_f0	high_f0	IH	AE	NaN	1	1	0	git	gat	NaN	0	1	6.0953	B	NA	NA
48	D	D	IH	IH	low_f0	high_f0	IH	IH	NaN	1	0	0	did	IH	NaN	1	1	4.0454	B	NA	NA
49	D	SH	AE	IH	low_f0	low_f0	IH	AE	NaN	1	0	0	dish	AE	NaN	0	1	2.8832	B	NA	NA
50	L	D	IH	AE	low_f0	high_f0	IH	AE	NaN	1	0	0	lid	AE	NaN	0	1	4.4013	B	NA	NA
51	G	TH	AE	IH	low_f0	low_f0	IH	AE	NaN	1	0	0	gith	AE	NaN	0	1	4.9121	B	NA	NA
52	D	F	IH	AE	low_f0	high_f0	IH	AE	NaN	1	0	0	diff	AE	NaN	0	1	3.7831	B	NA	NA
53	G	G	AE	IH	low_f0	high_f0	IH	EH	NaN	1	0	0	gig	EH	NaN	0	0	3.6002	B	NA	NA
54	D	F	AE	IH	low_f0	low_f0	IH	AE	NaN	1	0	0	diff	AE	NaN	0	1	3.1732	B	NA	NA
55	L	JH	AE	IH	low_f0	low_f0	IH	AE	NaN	1	0	0	lidge	AE	NaN	0	1	6.5402	B	NA	NA
