Ear: B
Audiogram left  : NA
Audiogram right : NA
Trial	C1	C2	Vowel1	Vowel2	F0_1	F0_2	Ans1V	Ans2V	Ans3V	Ans1C	Ans2C	Ans3C	Ans1	Ans2	Ans3	OneType	BothOK	RT	Ear	Audiogram_Left	Audiogram_Right
1	L	D	AE	IH	low_f0	high_f0	AE	IH	NaN	1	0	0	lad	IH	NaN	0	1	19.3552	B	NA	NA
2	D	F	IH	AE	low_f0	low_f0	IH	AE	NaN	1	0	0	diff	AE	NaN	0	1	14.0701	B	NA	NA
3	D	JH	EH	EH	low_f0	high_f0	EH	EH	NaN	1	0	0	dedge	EH	NaN	1	1	0.9697	B	NA	NA
4	D	SH	AE	AE	low_f0	high_f0	AE	AE	NaN	1	0	0	dash	AE	NaN	1	1	3.1996	B	NA	NA
5	G	TH	AE	IH	low_f0	high_f0	AE	IH	NaN	1	0	0	gath	IH	NaN	0	1	7.4776	B	NA	NA
6	G	G	IH	AE	low_f0	high_f0	IH	AE	NaN	1	1	0	gig	gag	NaN	0	1	22.0059	B	NA	NA
7	L	JH	IH	AE	low_f0	low_f0	IH	AE	NaN	1	0	0	lidge	AE	NaN	0	1	7.0208	B	NA	NA
8	L	TH	AE	IH	high_f0	high_f0	IH	AE	NaN	1	1	0	lith	lath	NaN	0	1	2.6291	B	NA	NA
9	L	D	AE	IH	low_f0	low_f0	AE	IH	NaN	1	1	0	lad	lid	NaN	0	1	9.8891	B	NA	NA
10	G	T	EH	EH	low_f0	high_f0	EH	AE	NaN	1	0	0	get	AE	NaN	0	0	8.4548	B	NA	NA
11	L	JH	AE	IH	high_f0	high_f0	AE	IH	NaN	1	1	0	ladge	lidge	NaN	0	1	6.8706	B	NA	NA
12	G	TH	IH	AE	low_f0	high_f0	IH	AE	NaN	1	1	0	gith	gath	NaN	0	1	22.2910	B	NA	NA
13	L	D	IH	AE	low_f0	low_f0	IH	AE	NaN	1	1	0	lid	lad	NaN	0	1	4.8219	B	NA	NA
14	L	P	IH	AE	high_f0	high_f0	IH	AE	NaN	1	0	0	lip	AE	NaN	0	1	11.8473	B	NA	NA
15	G	T	IH	AE	low_f0	high_f0	IH	AE	NaN	1	1	0	git	gat	NaN	0	1	8.4907	B	NA	NA
16	L	TH	AE	IH	low_f0	high_f0	EH	IH	NaN	1	1	0	leth	lith	NaN	0	0	3.8878	B	NA	NA
17	L	TH	IH	AE	high_f0	high_f0	IH	AE	NaN	1	0	0	lith	AE	NaN	0	1	2.7391	B	NA	NA
18	D	JH	AE	IH	low_f0	high_f0	AE	IH	NaN	1	1	0	dadge	didge	NaN	0	1	26.0580	B	NA	NA
19	L	P	AE	IH	low_f0	low_f0	AE	IH	NaN	1	1	0	lap	lip	NaN	0	1	6.5059	B	NA	NA
20	L	D	IH	AE	high_f0	high_f0	IH	AE	NaN	1	0	0	lid	AE	NaN	0	1	4.5199	B	NA	NA
21	G	T	AE	IH	high_f0	high_f0	AE	IH	NaN	1	1	0	gat	git	NaN	0	1	5.5767	B	NA	NA
22	G	TH	AE	AE	low_f0	high_f0	AE	AE	NaN	1	0	0	gath	AE	NaN	1	1	7.5702	B	NA	NA
23	G	G	AE	IH	low_f0	high_f0	AE	IH	NaN	1	0	0	gag	IH	NaN	0	1	10.2716	B	NA	NA
24	D	JH	AE	IH	low_f0	low_f0	AE	IH	NaN	1	1	0	dadge	didge	NaN	0	1	6.0876	B	NA	NA
25	D	F	IH	IH	low_f0	high_f0	IH	NaN	NaN	1	0	0	diff	NaN	NaN	1	1	0.6529	B	NA	NA
26	L	D	IH	IH	low_f0	high_f0	IH	IH	NaN	1	0	0	lid	IH	NaN	1	1	4.2634	B	NA	NA
27	G	TH	AE	IH	low_f0	low_f0	IH	EH	NaN	1	1	0	gith	geth	NaN	0	0	6.8390	B	NA	NA
28	D	JH	IH	AE	low_f0	low_f0	IH	AE	NaN	1	1	0	didge	dadge	NaN	0	1	17.3589	B	NA	NA
29	L	JH	AE	AE	low_f0	high_f0	AE	AE	NaN	1	0	0	ladge	AE	NaN	1	1	23.1723	B	NA	NA
30	D	SH	AE	IH	low_f0	low_f0	IH	AE	NaN	1	1	0	dish	dash	NaN	0	1	25.4888	B	NA	NA
31	D	D	IH	AE	low_f0	high_f0	IH	AE	NaN	1	1	0	did	dad	NaN	0	1	7.3345	B	NA	NA
32	D	F	IH	AE	high_f0	high_f0	IH	AE	NaN	1	1	0	diff	daff	NaN	0	1	5.1181	B	NA	NA
33	D	D	AE	AE	low_f0	high_f0	AE	AE	NaN	1	0	0	dad	AE	NaN	1	1	0.9444	B	NA	NA
34	L	P	IH	IH	low_f0	high_f0	IH	IH	NaN	1	0	0	lip	IH	NaN	1	1	1.5697	B	NA	NA
35	D	D	AE	IH	high_f0	high_f0	AE	IH	NaN	1	1	0	dad	did	NaN	0	1	15.1505	B	NA	NA
36	G	T	EH	EH	low_f0	low_f0	EH	NaN	NaN	1	0	0	get	NaN	NaN	1	1	0.4195	B	NA	NA
37	G	T	AE	AE	low_f0	low_f0	AE	NaN	NaN	1	0	0	gat	NaN	NaN	1	1	0.4306	B	NA	NA
38	D	SH	IH	AE	low_f0	high_f0	IH	AE	NaN	1	0	0	dish	AE	NaN	0	1	22.7672	B	NA	NA
39	D	F	AE	IH	low_f0	low_f0	IH	IH	NaN	1	0	0	diff	IH	NaN	1	0	6.0634	B	NA	NA
40	L	TH	IH	AE	low_f0	low_f0	IH	AE	NaN	1	0	0	lith	AE	NaN	0	1	16.9635	B	NA	NA
41	D	F	IH	AE	low_f0	high_f0	IH	AE	NaN	1	0	0	diff	AE	NaN	0	1	6.3469	B	NA	NA
42	G	G	IH	IH	low_f0	high_f0	IH	IH	NaN	1	0	0	gig	IH	NaN	1	1	0.8940	B	NA	NA
43	D	JH	EH	EH	high_f0	high_f0	EH	NaN	NaN	1	0	0	dedge	NaN	NaN	1	1	0.3308	B	NA	NA
44	L	D	IH	AE	low_f0	high_f0	IH	AE	NaN	1	1	0	lid	lad	NaN	0	1	2.4590	B	NA	NA
45	L	TH	AE	IH	low_f0	low_f0	IH	EH	NaN	1	1	0	lith	leth	NaN	0	0	3.7735	B	NA	NA
46	G	T	AE	IH	low_f0	high_f0	IH	AE	NaN	1	1	0	git	gat	NaN	0	1	2.6133	B	NA	NA
47	G	TH	IH	AE	low_f0	low_f0	IH	AE	NaN	1	1	0	gith	gath	NaN	0	1	4.8780	B	NA	NA
48	L	TH	AE	AE	high_f0	high_f0	AE	NaN	NaN	1	0	0	lath	NaN	NaN	1	1	0.7942	B	NA	NA
49	G	G	IH	AE	high_f0	high_f0	IH	AE	NaN	1	1	0	gig	gag	NaN	0	1	2.6610	B	NA	NA
50	D	D	AE	IH	low_f0	high_f0	IH	AE	NaN	1	1	0	did	dad	NaN	0	1	1.0945	B	NA	NA
51	G	TH	AE	IH	high_f0	high_f0	AE	IH	NaN	1	1	0	gath	gith	NaN	0	1	8.3235	B	NA	NA
52	D	SH	AE	IH	low_f0	high_f0	AE	IH	NaN	1	1	0	dash	dish	NaN	0	1	5.8449	B	NA	NA
53	D	F	AE	AE	low_f0	high_f0	AE	AE	NaN	1	0	0	daff	AE	NaN	1	1	2.7496	B	NA	NA
54	L	JH	IH	AE	low_f0	high_f0	IH	AE	NaN	1	0	0	lidge	AE	NaN	0	1	12.8002	B	NA	NA
55	D	F	AE	IH	low_f0	high_f0	IH	EH	NaN	1	1	0	diff	deaf	NaN	0	0	5.7188	B	NA	NA
56	G	TH	EH	EH	low_f0	low_f0	EH	NaN	NaN	1	0	0	geth	NaN	NaN	1	1	0.3602	B	NA	NA
57	D	JH	AE	IH	high_f0	high_f0	AE	IH	NaN	1	1	0	dadge	didge	NaN	0	1	4.6749	B	NA	NA
58	G	TH	EH	EH	low_f0	high_f0	EH	NaN	NaN	1	0	0	geth	NaN	NaN	1	1	0.6294	B	NA	NA
59	L	P	AE	AE	low_f0	high_f0	EH	EH	NaN	0	1	0	EH	lep	NaN	1	0	1.4658	B	NA	NA
60	L	P	IH	AE	low_f0	low_f0	IH	AE	NaN	1	0	0	lip	AE	NaN	0	1	5.9030	B	NA	NA
61	L	P	AE	IH	high_f0	high_f0	IH	AE	NaN	1	1	0	lip	lap	NaN	0	1	3.0486	B	NA	NA
62	L	JH	AE	IH	low_f0	high_f0	AE	IH	NaN	1	1	0	ladge	lidge	NaN	0	1	5.6155	B	NA	NA
63	D	D	EH	EH	low_f0	high_f0	EH	EH	NaN	1	0	0	dead	EH	NaN	1	1	1.0005	B	NA	NA
64	L	TH	IH	IH	low_f0	high_f0	IH	IH	NaN	1	0	0	lith	IH	NaN	1	1	2.5390	B	NA	NA
65	G	TH	IH	IH	low_f0	high_f0	IH	IH	NaN	1	0	0	gith	IH	NaN	1	1	2.1672	B	NA	NA
66	D	D	IH	AE	low_f0	low_f0	AE	EH	NaN	1	1	0	dad	dead	NaN	0	0	8.9772	B	NA	NA
67	D	F	AE	IH	high_f0	high_f0	IH	AE	NaN	1	1	0	diff	daff	NaN	0	1	5.9972	B	NA	NA
68	L	D	AE	IH	high_f0	high_f0	AE	IH	NaN	1	1	0	lad	lid	NaN	0	1	3.6377	B	NA	NA
69	L	TH	IH	AE	low_f0	high_f0	IH	AE	NaN	1	1	0	lith	lath	NaN	0	1	2.5600	B	NA	NA
70	D	JH	AE	AE	low_f0	high_f0	AE	AE	NaN	1	0	0	dadge	AE	NaN	1	1	0.9040	B	NA	NA
71	D	D	IH	IH	low_f0	high_f0	IH	IH	NaN	0	1	0	IH	did	NaN	1	1	2.8256	B	NA	NA
72	G	T	IH	IH	low_f0	high_f0	EH	EH	NaN	1	0	0	get	EH	NaN	1	0	0.9794	B	NA	NA
73	L	D	IH	IH	high_f0	high_f0	IH	NaN	NaN	1	0	0	lid	NaN	NaN	1	1	0.4778	B	NA	NA
74	L	P	EH	EH	low_f0	high_f0	EH	EH	NaN	1	0	0	lep	EH	NaN	1	1	1.4680	B	NA	NA
75	D	SH	EH	EH	low_f0	high_f0	EH	NaN	NaN	1	0	0	desh	NaN	NaN	1	1	0.5149	B	NA	NA
76	D	D	AE	AE	low_f0	low_f0	AE	NaN	NaN	1	0	0	dad	NaN	NaN	1	1	0.6414	B	NA	NA
77	G	T	IH	AE	low_f0	low_f0	IH	AE	NaN	1	1	0	git	gat	NaN	0	1	4.0677	B	NA	NA
78	G	G	AE	IH	low_f0	low_f0	IH	AE	NaN	1	1	0	gig	gag	NaN	0	1	2.8939	B	NA	NA
79	L	JH	AE	IH	low_f0	low_f0	AE	EH	NaN	1	1	0	ladge	ledge	NaN	0	0	4.5241	B	NA	NA
80	D	SH	EH	EH	low_f0	low_f0	EH	NaN	NaN	1	0	0	desh	NaN	NaN	1	1	0.9479	B	NA	NA
81	L	TH	EH	EH	high_f0	high_f0	EH	NaN	NaN	1	0	0	leth	NaN	NaN	1	1	0.7002	B	NA	NA
82	D	SH	AE	IH	high_f0	high_f0	AE	IH	NaN	1	0	0	dash	IH	NaN	0	1	19.6930	B	NA	NA
83	L	P	AE	IH	low_f0	high_f0	IH	AE	NaN	1	1	0	lip	lap	NaN	0	1	5.0377	B	NA	NA
84	D	SH	IH	AE	high_f0	high_f0	IH	AE	NaN	1	0	0	dish	AE	NaN	0	1	19.3292	B	NA	NA
85	G	T	AE	IH	low_f0	low_f0	IH	AE	NaN	1	1	0	git	gat	NaN	0	1	3.0319	B	NA	NA
86	D	D	AE	IH	low_f0	low_f0	AE	EH	NaN	1	1	0	dad	dead	NaN	0	0	4.2794	B	NA	NA
